"Twn Num","Twn Dir","Rng Num","Rng Dir","Sec","Quarter","Lib Num","API Num","Operator","Well Name","Field","Type","State","County","Photos","Thin Sec","Analysis","Latitude","Longitude","Source","Security Flag","Formation","Age","Min Depth","Max Depth"
"47","N","91","W","14","NESE","E653","4904320798","BASS ENTERPRISES","245 COTTONWOOD CREEK","COTTONWOOD CREEK","SLABBED","WY","WASHAKIE","T","F","F","44.04347","-107.72768","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","PHOSPHORIA","PERM","7657","7710"
"37","N","57","E","23","NENE","E598","2509107005","CHEVRON OIL","1 C SOLBERG UNIT","FLAT LAKE","SLABBED","MT","SHERIDAN","T","F","F","48.951829","-104.159889","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","RATCLIFFE","MISS","6521","6554"
"12","N","57","W","26","NENE","E659","0512310774","MAGIC OIL","1 SCHROEDER","TUMBLEWEED","SLABBED","CO","WELD","T","F","T","40.989933","-103.709053","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","CARLILE","CRET","5970","6001"
"34","N","8","W","34","SWNENW","T276","0506707710","MARKWEST ENERGY","21-34 HORNICH","IGNACIO-BLANCO","SLABBED","CO","LA PLATA","T","F","T","37.152518","-107.707864","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","FRUITLAND","CRET","2831","2861"
"34","N","8","W","34","SWNENW","T276","0506707710","MARKWEST ENERGY","21-34 HORNICH","IGNACIO-BLANCO","SLABBED","CO","LA PLATA","T","F","T","37.152518","-107.707864","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","FRUITLAND","CRET","2932","2961"
"34","N","8","W","15","NESWSE","T326","0506707687","MARKWEST ENERGY","34-15 MCCAW","IGNACIO-BLANCO","SLABBED","CO","LA PLATA","T","F","T","37.186248","-107.700804","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","FRUITLAND","CRET","2435","2463"
"26","N","58","E","17","NENW","F025","2508321842","LUFF EXPL","1-17R FEDERAL","N SIOUX PASS","SLABBED","MT","RICHLAND","T","T","T","48.010575","-104.258633","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","RATCLIFFE","MISS","8783","8804"
"26","N","58","E","17","NENW","F025","2508321842","LUFF EXPL","1-17R FEDERAL","N SIOUX PASS","SLABBED","MT","RICHLAND","T","T","T","48.010575","-104.258633","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","RATCLIFFE","MISS","8808","8874"
"8","N","60","W","32","NWSW","T178","0512319437","DIVERSIFIED OPERATIN","32-12-10 SHOWERS","BIRD HAVEN","SLABBED","CO","WELD","T","F","T","40.61683","-104.123426","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","DAKOTA","CRET","6885","6905"
"4","S","85","W","29","SESW","T208",,"BHP MINERALS","1-A EAGLE VALLEY",,"FULL","CO","EAGLE","F","F","F","39.66941","-106.94923","CENTER OF QUARTER SECTION","NO SPECIAL RESTRICTIONS","EAGLE","CRET","1372","1830"
